dataset,pipeline,signal,iteration,status,elapsed,split,run_id,expected,index,y,y_hat,fy_hat,ry_hat,scores,f1,recall,precision,tn,fp,fn,tp
YAHOOA4,U_aer,A4Benchmark-TS22,0,OK,21.850773,False,61368e85-0,"[[90, 90], [282, 282], [401, 401], [417, 417], [576, 576], [623, 623], [647, 647], [799, 799], [1457, 1457], [1532, 1532]]",[   1    2    3 ... 1678 1679 1680],"[[[-0.52207196]
  [-0.33035081]
  [-0.17816712]
  ...
  [-0.15292923]
  [-0.00750012]
  [ 0.05575503]]

 [[-0.33035081]
  [-0.17816712]
  [-0.10070186]
  ...
  [-0.00750012]
  [ 0.05575503]
  [ 0.04692165]]

 [[-0.17816712]
  [-0.10070186]
  [-0.10594795]
  ...
  [ 0.05575503]
  [ 0.04692165]
  [-0.03848292]]

 ...

 [[-0.06838627]
  [-0.30892262]
  [-0.54269487]
  ...
  [-0.4009756 ]
  [-0.6225295 ]
  [-0.75125333]]

 [[-0.30892262]
  [-0.54269487]
  [-0.6675143 ]
  ...
  [-0.6225295 ]
  [-0.75125333]
  [-0.76865733]]

 [[-0.54269487]
  [-0.6675143 ]
  [-0.69607099]
  ...
  [-0.75125333]
  [-0.76865733]
  [-0.63972974]]]","[[[-0.26568702]
  [-0.11757904]
  [-0.03534991]
  ...
  [-0.33333126]
  [-0.13324888]
  [ 0.01551112]]

 [[-0.12689626]
  [-0.04843318]
  [-0.03978189]
  ...
  [-0.14832923]
  [-0.00707555]
  [ 0.05933923]]

 [[-0.06868076]
  [-0.06914566]
  [-0.12459262]
  ...
  [-0.01884247]
  [ 0.03941136]
  [ 0.02267288]]

 ...

 [[-0.53160137]
  [-0.7570878 ]
  [-0.8296859 ]
  ...
  [-0.34382182]
  [-0.594815  ]
  [-0.7906926 ]]

 [[-0.72322136]
  [-0.87457216]
  [-0.8433126 ]
  ...
  [-0.5656106 ]
  [-0.7995504 ]
  [-0.9082711 ]]

 [[-0.85730827]
  [-0.884313  ]
  [-0.7190252 ]
  ...
  [-0.7527956 ]
  [-0.8957546 ]
  [-0.87600636]]]","[[ 0.08310036]
 [ 0.04596149]
 [-0.05103581]
 ...
 [-0.8417385 ]
 [-0.825645  ]
 [-0.6659446 ]]","[[-0.43932158]
 [-0.25533494]
 [-0.1143021 ]
 ...
 [-0.11112496]
 [-0.32279804]
 [-0.5528347 ]]",[1.         1.01630734 1.01630734 ... 1.38897689 1.35131597 1.24384886],0.5333333333333333,0.4,0.8,,1,6,4
YAHOOA4,U_aer,A4Benchmark-TS23,0,OK,21.546792,False,61368e85-0,"[[414, 414], [641, 641], [1095, 1095], [1107, 1107]]",[   1    2    3 ... 1678 1679 1680],"[[[-0.39322747]
  [-0.15053122]
  [ 0.01360373]
  ...
  [-0.18938338]
  [-0.06810339]
  [ 0.03305222]]

 [[-0.15053122]
  [ 0.01360373]
  [ 0.09483979]
  ...
  [-0.06810339]
  [ 0.03305222]
  [ 0.01914257]]

 [[ 0.01360373]
  [ 0.09483979]
  [ 0.13195767]
  ...
  [ 0.03305222]
  [ 0.01914257]
  [-0.05791473]]

 ...

 [[-0.23164535]
  [-0.37630156]
  [-0.54850423]
  ...
  [-0.60977749]
  [-0.79602226]
  [-0.82176437]]

 [[-0.37630156]
  [-0.54850423]
  [-0.65606452]
  ...
  [-0.79602226]
  [-0.82176437]
  [-0.8391755 ]]

 [[-0.54850423]
  [-0.65606452]
  [-0.65683064]
  ...
  [-0.82176437]
  [-0.8391755 ]
  [-0.71501865]]]","[[[-0.24713373]
  [-0.15865572]
  [-0.08823117]
  ...
  [-0.603788  ]
  [-0.44779474]
  [-0.2499468 ]]

 [[-0.08062552]
  [-0.04844295]
  [-0.03493794]
  ...
  [-0.4777699 ]
  [-0.3264184 ]
  [-0.15911277]]

 [[ 0.03072703]
  [ 0.01054328]
  [-0.02339782]
  ...
  [-0.33779824]
  [-0.22648089]
  [-0.12166823]]

 ...

 [[-0.42381844]
  [-0.51121503]
  [-0.54159784]
  ...
  [-0.6738643 ]
  [-0.74847186]
  [-0.8071708 ]]

 [[-0.5361409 ]
  [-0.572447  ]
  [-0.5454951 ]
  ...
  [-0.73669255]
  [-0.8020032 ]
  [-0.84032696]]

 [[-0.5895382 ]
  [-0.55388254]
  [-0.457807  ]
  ...
  [-0.774129  ]
  [-0.8130231 ]
  [-0.81232417]]]","[[-0.02652376]
 [ 0.00726981]
 [-0.03385844]
 ...
 [-0.832822  ]
 [-0.8318841 ]
 [-0.75312054]]","[[-0.34344053]
 [-0.13009153]
 [ 0.03364133]
 ...
 [-0.27103743]
 [-0.425221  ]
 [-0.5477628 ]]",[1.         1.11258956 1.11258956 ... 1.33852983 1.23908589 1.10485142],1.0,1.0,1.0,,0,0,4
YAHOOA4,U_aer,A4Benchmark-TS24,0,OK,21.438643,False,61368e85-0,"[[69, 69], [182, 182], [367, 367], [506, 506], [783, 783], [948, 948], [1585, 1585], [1644, 1644], [1662, 1662]]",[   1    2    3 ... 1678 1679 1680],"[[[ 0.3864401 ]
  [ 0.54912188]
  [ 0.81117122]
  ...
  [ 0.39727523]
  [ 0.56623748]
  [ 0.61838736]]

 [[ 0.54912188]
  [ 0.81117122]
  [ 0.89321133]
  ...
  [ 0.56623748]
  [ 0.61838736]
  [ 0.61534276]]

 [[ 0.81117122]
  [ 0.89321133]
  [ 0.97884828]
  ...
  [ 0.61838736]
  [ 0.61534276]
  [ 0.54371467]]

 ...

 [[-0.07278968]
  [-0.11835175]
  [-0.21993574]
  ...
  [-0.21372257]
  [-0.25886548]
  [-0.28068489]]

 [[-0.11835175]
  [-0.21993574]
  [-0.25110543]
  ...
  [-0.25886548]
  [-0.28068489]
  [-0.31044237]]

 [[-0.21993574]
  [-0.25110543]
  [-0.25093193]
  ...
  [-0.28068489]
  [-0.31044237]
  [-0.26909117]]]","[[[ 0.6614038 ]
  [ 0.85093135]
  [ 0.92117965]
  ...
  [ 0.04466492]
  [ 0.33631137]
  [ 0.5541813 ]]

 [[ 0.8349325 ]
  [ 0.9178598 ]
  [ 0.8804806 ]
  ...
  [ 0.34257504]
  [ 0.5793647 ]
  [ 0.68031317]]

 [[ 0.8745781 ]
  [ 0.84440935]
  [ 0.71626085]
  ...
  [ 0.5656392 ]
  [ 0.69996965]
  [ 0.6689452 ]]

 ...

 [[-0.18159482]
  [-0.27035326]
  [-0.30401343]
  ...
  [-0.14408521]
  [-0.2539611 ]
  [-0.3447985 ]]

 [[-0.2786395 ]
  [-0.32549638]
  [-0.3041456 ]
  ...
  [-0.23226607]
  [-0.32721478]
  [-0.37812778]]

 [[-0.32418793]
  [-0.3196064 ]
  [-0.2466811 ]
  ...
  [-0.3204828 ]
  [-0.3813462 ]
  [-0.38089597]]]","[[ 0.62652904]
 [ 0.5946714 ]
 [ 0.44899136]
 ...
 [-0.37225598]
 [-0.34559494]
 [-0.2898881 ]]","[[ 0.39464918]
 [ 0.63839865]
 [ 0.7858036 ]
 ...
 [-0.04094279]
 [-0.15430152]
 [-0.23720525]]",[1.         1.07271389 1.07271389 ... 1.37282195 1.32254261 1.21104417],0.5,0.3333333333333333,1.0,,0,6,3
YAHOOA4,U_aer,A4Benchmark-TS25,0,OK,21.660762,False,61368e85-0,"[[13, 13], [208, 208], [244, 244], [290, 290], [345, 345], [554, 554], [598, 598], [721, 721], [892, 892], [1152, 1152], [1193, 1193]]",[   1    2    3 ... 1678 1679 1680],"[[[-0.05317146]
  [ 0.05230025]
  [ 0.17539871]
  ...
  [ 0.06067406]
  [ 0.11954686]
  [ 0.27700679]]

 [[ 0.05230025]
  [ 0.17539871]
  [ 0.31364456]
  ...
  [ 0.11954686]
  [ 0.27700679]
  [ 0.18994843]]

 [[ 0.17539871]
  [ 0.31364456]
  [ 0.40530203]
  ...
  [ 0.27700679]
  [ 0.18994843]
  [ 0.13802734]]

 ...

 [[ 0.02044136]
  [-0.2935356 ]
  [-0.27772056]
  ...
  [-0.12461984]
  [-0.4292495 ]
  [-0.34542405]]

 [[-0.2935356 ]
  [-0.27772056]
  [-0.44750161]
  ...
  [-0.4292495 ]
  [-0.34542405]
  [-0.44709426]]

 [[-0.27772056]
  [-0.44750161]
  [-0.24944022]
  ...
  [-0.34542405]
  [-0.44709426]
  [-0.34265728]]]","[[[ 0.04425473]
  [ 0.11773977]
  [ 0.16329548]
  ...
  [-0.11235686]
  [-0.02815349]
  [ 0.07153518]]

 [[ 0.20107289]
  [ 0.25324553]
  [ 0.27152807]
  ...
  [-0.0202371 ]
  [ 0.05932458]
  [ 0.14063184]]

 [[ 0.3053267 ]
  [ 0.33036655]
  [ 0.32354105]
  ...
  [ 0.02148781]
  [ 0.08581574]
  [ 0.13896784]]

 ...

 [[-0.17806531]
  [-0.21988814]
  [-0.2066502 ]
  ...
  [-0.34421563]
  [-0.4308746 ]
  [-0.4985649 ]]

 [[-0.2900893 ]
  [-0.27477145]
  [-0.19842893]
  ...
  [-0.36222625]
  [-0.43722844]
  [-0.4837343 ]]

 [[-0.35814124]
  [-0.27762157]
  [-0.13934554]
  ...
  [-0.3385427 ]
  [-0.4023348 ]
  [-0.42914796]]]","[[ 0.17899857]
 [ 0.21085355]
 [ 0.16721791]
 ...
 [-0.5241876 ]
 [-0.47390473]
 [-0.38728428]]","[[-0.05911185]
 [ 0.10506438]
 [ 0.23469333]
 ...
 [-0.06295213]
 [-0.22091956]
 [-0.3488558 ]]",[1.         1.04680488 1.04680488 ... 1.88457234 1.69040401 1.41650711],0.0,0.0,0.0,,1,11,0
YAHOOA4,U_aer,A4Benchmark-TS26,0,OK,21.573545,False,61368e85-0,"[[1056, 1056], [1385, 1385]]",[   1    2    3 ... 1678 1679 1680],"[[[-0.17932034]
  [-0.14261436]
  [-0.078797  ]
  ...
  [-0.12333239]
  [-0.07348264]
  [-0.04980628]]

 [[-0.14261436]
  [-0.078797  ]
  [-0.06202981]
  ...
  [-0.07348264]
  [-0.04980628]
  [-0.04357043]]

 [[-0.078797  ]
  [-0.06202981]
  [-0.05354402]
  ...
  [-0.04980628]
  [-0.04357043]
  [-0.0614743 ]]

 ...

 [[-0.06337645]
  [-0.16557881]
  [-0.20835996]
  ...
  [-0.2837539 ]
  [-0.3180412 ]
  [-0.33578635]]

 [[-0.16557881]
  [-0.20835996]
  [-0.25945159]
  ...
  [-0.3180412 ]
  [-0.33578635]
  [-0.35299436]]

 [[-0.20835996]
  [-0.25945159]
  [-0.26090723]
  ...
  [-0.33578635]
  [-0.35299436]
  [-0.31789819]]]","[[[-0.11656621]
  [-0.10196516]
  [-0.08819006]
  ...
  [-0.19277143]
  [-0.12748553]
  [-0.05997551]]

 [[-0.06232346]
  [-0.05419239]
  [-0.05096451]
  ...
  [-0.12680128]
  [-0.081696  ]
  [-0.04590436]]

 [[-0.03408505]
  [-0.03301495]
  [-0.03824317]
  ...
  [-0.09293813]
  [-0.06817671]
  [-0.05404706]]

 ...

 [[-0.18558627]
  [-0.23440391]
  [-0.2630257 ]
  ...
  [-0.28464243]
  [-0.36221066]
  [-0.42439312]]

 [[-0.2365236 ]
  [-0.27231616]
  [-0.27961814]
  ...
  [-0.3683281 ]
  [-0.43072522]
  [-0.44831204]]

 [[-0.2757551 ]
  [-0.289053  ]
  [-0.26690015]
  ...
  [-0.4197152 ]
  [-0.4411888 ]
  [-0.3944357 ]]]","[[ 0.00183154]
 [-0.02182033]
 [-0.05046726]
 ...
 [-0.4373077 ]
 [-0.382999  ]
 [-0.2515539 ]]","[[-0.1282908 ]
 [-0.07419607]
 [-0.04231196]
 ...
 [-0.11441802]
 [-0.1708337 ]
 [-0.22518532]]",[1.         1.03335664 1.03335664 ... 1.3622386  1.32876856 1.30907733],1.0,1.0,1.0,,0,0,2
YAHOOA4,U_aer,A4Benchmark-TS27,0,OK,21.502569,False,61368e85-0,"[[118, 118], [259, 259], [371, 371], [417, 417], [542, 542], [660, 660], [743, 743], [822, 822], [1087, 1087], [1130, 1130], [1197, 1197], [1302, 1302], [1306, 1306], [1485, 1485], [1647, 1647]]",[   1    2    3 ... 1678 1679 1680],"[[[-0.22436519]
  [ 0.00918127]
  [ 0.1013634 ]
  ...
  [-0.1177838 ]
  [ 0.12559771]
  [ 0.18638135]]

 [[ 0.00918127]
  [ 0.1013634 ]
  [ 0.18524341]
  ...
  [ 0.12559771]
  [ 0.18638135]
  [ 0.15870439]]

 [[ 0.1013634 ]
  [ 0.18524341]
  [ 0.25906753]
  ...
  [ 0.18638135]
  [ 0.15870439]
  [ 0.00085897]]

 ...

 [[-0.13421862]
  [-0.20594425]
  [-0.29073869]
  ...
  [-0.33667837]
  [-0.37898785]
  [-0.45565017]]

 [[-0.20594425]
  [-0.29073869]
  [-0.39610726]
  ...
  [-0.37898785]
  [-0.45565017]
  [-0.4654637 ]]

 [[-0.29073869]
  [-0.39610726]
  [-0.31001925]
  ...
  [-0.45565017]
  [-0.4654637 ]
  [-0.42439727]]]","[[[ 0.07684206]
  [ 0.19972742]
  [ 0.24333185]
  ...
  [-0.2080169 ]
  [ 0.00832503]
  [ 0.1859403 ]]

 [[ 0.20198865]
  [ 0.25082204]
  [ 0.21296886]
  ...
  [ 0.01807751]
  [ 0.19674319]
  [ 0.29562888]]

 [[ 0.2712674 ]
  [ 0.22040555]
  [ 0.10347807]
  ...
  [ 0.18485907]
  [ 0.28457174]
  [ 0.28578508]]

 ...

 [[-0.3185331 ]
  [-0.4418631 ]
  [-0.48954022]
  ...
  [-0.27893493]
  [-0.36466944]
  [-0.4279344 ]]

 [[-0.40886337]
  [-0.48769265]
  [-0.47745058]
  ...
  [-0.36387104]
  [-0.4444423 ]
  [-0.47734195]]

 [[-0.46118814]
  [-0.48261145]
  [-0.416331  ]
  ...
  [-0.43540385]
  [-0.49040392]
  [-0.47953838]]]","[[ 0.28300646]
 [ 0.29130608]
 [ 0.18920031]
 ...
 [-0.4366466 ]
 [-0.43406424]
 [-0.38413382]]","[[-0.10933235]
 [ 0.06196136]
 [ 0.23024942]
 ...
 [-0.11616507]
 [-0.22579603]
 [-0.3255824 ]]",[1.00922864 1.04889198 1.04889198 ... 1.21280729 1.20004992 1.1579541 ],0.4210526315789474,0.26666666666666666,1.0,,0,11,4
YAHOOA4,U_aer,A4Benchmark-TS28,0,OK,20.631436,False,61368e85-0,"[[82, 82], [330, 330], [615, 615], [639, 639], [836, 836], [1059, 1059], [1078, 1078], [1132, 1132], [1183, 1183], [1240, 1240], [1369, 1369], [1564, 1564]]",[   1    2    3 ... 1678 1679 1680],"[[[-0.33323545]
  [-0.2042505 ]
  [-0.08323521]
  ...
  [-0.2043698 ]
  [ 0.08022656]
  [ 0.1388844 ]]

 [[-0.2042505 ]
  [-0.08323521]
  [-0.10084362]
  ...
  [ 0.08022656]
  [ 0.1388844 ]
  [-0.07044343]]

 [[-0.08323521]
  [-0.10084362]
  [ 0.12688849]
  ...
  [ 0.1388844 ]
  [-0.07044343]
  [-0.0377557 ]]

 ...

 [[-0.45399898]
  [-0.5239322 ]
  [-0.56515298]
  ...
  [-0.61759399]
  [-0.71774812]
  [-0.82568114]]

 [[-0.5239322 ]
  [-0.56515298]
  [-0.5114131 ]
  ...
  [-0.71774812]
  [-0.82568114]
  [-0.70183986]]

 [[-0.56515298]
  [-0.5114131 ]
  [-0.66495476]
  ...
  [-0.82568114]
  [-0.70183986]
  [-0.87530147]]]","[[[-0.13303457]
  [-0.00816577]
  [ 0.04343131]
  ...
  [-0.27116325]
  [-0.09666364]
  [ 0.03181154]]

 [[ 0.07020441]
  [ 0.10146912]
  [ 0.04518614]
  ...
  [-0.02729049]
  [ 0.07658027]
  [ 0.09508517]]

 [[ 0.13862632]
  [ 0.0714818 ]
  [-0.06869505]
  ...
  [ 0.10118085]
  [ 0.11781636]
  [ 0.03994607]]

 ...

 [[-0.4616898 ]
  [-0.5434386 ]
  [-0.5725633 ]
  ...
  [-0.62532276]
  [-0.75656116]
  [-0.8285437 ]]

 [[-0.5382644 ]
  [-0.59279954]
  [-0.57905585]
  ...
  [-0.74332577]
  [-0.8685965 ]
  [-0.903502  ]]

 [[-0.57866186]
  [-0.59215635]
  [-0.5366185 ]
  ...
  [-0.85583717]
  [-0.9348697 ]
  [-0.9020113 ]]]","[[ 0.11005738]
 [ 0.03600271]
 [-0.12307122]
 ...
 [-0.79448134]
 [-0.80407006]
 [-0.7251629 ]]","[[-0.27250326]
 [-0.03576083]
 [ 0.10659786]
 ...
 [-0.3267258 ]
 [-0.40129712]
 [-0.4669347 ]]",[1.         1.07115449 1.07115449 ... 1.4391306  1.42432384 1.38187704],0.2857142857142857,0.16666666666666666,1.0,,0,10,2
YAHOOA4,U_aer,A4Benchmark-TS29,0,OK,21.774201,False,61368e85-0,"[[7, 7], [122, 122], [149, 149], [491, 491], [817, 817], [839, 839], [871, 871], [1076, 1076], [1164, 1164], [1279, 1279], [1371, 1371], [1463, 1463], [1505, 1505], [1545, 1545]]",[   1    2    3 ... 1678 1679 1680],"[[[-0.02884575]
  [ 0.21297587]
  [ 0.32566664]
  ...
  [ 0.08177719]
  [ 0.25574243]
  [ 0.26197943]]

 [[ 0.21297587]
  [ 0.32566664]
  [ 0.41886795]
  ...
  [ 0.25574243]
  [ 0.26197943]
  [ 0.41165956]]

 [[ 0.32566664]
  [ 0.41886795]
  [ 0.49779663]
  ...
  [ 0.26197943]
  [ 0.41165956]
  [ 0.24574101]]

 ...

 [[ 0.06456161]
  [-0.05819669]
  [-0.29819931]
  ...
  [-0.29852855]
  [-0.41052501]
  [-0.43634133]]

 [[-0.05819669]
  [-0.29819931]
  [-0.27231806]
  ...
  [-0.41052501]
  [-0.43634133]
  [-0.39886817]]

 [[-0.29819931]
  [-0.27231806]
  [-0.27445613]
  ...
  [-0.43634133]
  [-0.39886817]
  [-0.39202456]]]","[[[ 0.12856273]
  [ 0.23270838]
  [ 0.27998987]
  ...
  [-0.20215136]
  [ 0.02409938]
  [ 0.21637644]]

 [[ 0.28351197]
  [ 0.32663697]
  [ 0.30670634]
  ...
  [ 0.00628321]
  [ 0.20969012]
  [ 0.32208225]]

 [[ 0.40796357]
  [ 0.38939223]
  [ 0.3170926 ]
  ...
  [ 0.25673413]
  [ 0.34197924]
  [ 0.31957528]]

 ...

 [[-0.14269641]
  [-0.24257536]
  [-0.314954  ]
  ...
  [-0.1690746 ]
  [-0.31390074]
  [-0.44621208]]

 [[-0.27653494]
  [-0.345972  ]
  [-0.36151645]
  ...
  [-0.29984093]
  [-0.42722738]
  [-0.49623978]]

 [[-0.32163143]
  [-0.33233076]
  [-0.27119082]
  ...
  [-0.4312183 ]
  [-0.5055717 ]
  [-0.48701313]]]","[[ 0.33820313]
 [ 0.32801902]
 [ 0.2103346 ]
 ...
 [-0.5251785 ]
 [-0.46441716]
 [-0.34374222]]","[[-0.01586617]
 [ 0.16979145]
 [ 0.33901924]
 ...
 [-0.02479712]
 [-0.17227261]
 [-0.25925666]]",[1.         1.07651265 1.07651265 ... 1.52630034 1.49744026 1.37812889],0.6,0.42857142857142855,1.0,,0,8,6
YAHOOA4,U_aer,A4Benchmark-TS2,0,OK,21.424683,False,61368e85-0,"[[434, 434], [686, 686], [724, 724], [1255, 1255], [1420, 1420]]",[   1    2    3 ... 1678 1679 1680],"[[[-0.3026574 ]
  [-0.08483776]
  [ 0.03910182]
  ...
  [-0.14917836]
  [-0.03315003]
  [ 0.04599619]]

 [[-0.08483776]
  [ 0.03910182]
  [ 0.13118351]
  ...
  [-0.03315003]
  [ 0.04599619]
  [ 0.03744547]]

 [[ 0.03910182]
  [ 0.13118351]
  [ 0.10901589]
  ...
  [ 0.04599619]
  [ 0.03744547]
  [-0.02473355]]

 ...

 [[-0.28486671]
  [-0.42771972]
  [-0.5435187 ]
  ...
  [-0.5182815 ]
  [-0.63602774]
  [-0.70874226]]

 [[-0.42771972]
  [-0.5435187 ]
  [-0.64149476]
  ...
  [-0.63602774]
  [-0.70874226]
  [-0.69679437]]

 [[-0.5435187 ]
  [-0.64149476]
  [-0.63139497]
  ...
  [-0.70874226]
  [-0.69679437]
  [-0.63372744]]]","[[[-0.1307217 ]
  [ 0.04718685]
  [ 0.14724791]
  ...
  [-0.36526927]
  [-0.19313714]
  [-0.01660218]]

 [[ 0.07916062]
  [ 0.17514254]
  [ 0.16992997]
  ...
  [-0.19161293]
  [-0.01692539]
  [ 0.1046743 ]]

 [[ 0.20165925]
  [ 0.19915514]
  [ 0.10842412]
  ...
  [-0.00125743]
  [ 0.13386121]
  [ 0.1610951 ]]

 ...

 [[-0.52613777]
  [-0.620173  ]
  [-0.6558007 ]
  ...
  [-0.32370722]
  [-0.5237189 ]
  [-0.7222494 ]]

 [[-0.64901525]
  [-0.6953916 ]
  [-0.6636419 ]
  ...
  [-0.50236404]
  [-0.7122163 ]
  [-0.8311968 ]]

 [[-0.73233616]
  [-0.7099784 ]
  [-0.6065974 ]
  ...
  [-0.68184686]
  [-0.8253036 ]
  [-0.84446204]]]","[[ 0.13456719]
 [ 0.14274782]
 [ 0.07557403]
 ...
 [-0.78804976]
 [-0.77466404]
 [-0.68906367]]","[[-0.2933157 ]
 [-0.06619611]
 [ 0.11603592]
 ...
 [-0.3322207 ]
 [-0.4669531 ]
 [-0.5969139 ]]",[1.         1.05699017 1.05699017 ... 1.31883462 1.32803028 1.26488103],1.0,1.0,1.0,,0,0,5
YAHOOA4,U_aer,A4Benchmark-TS30,0,OK,21.418061,False,61368e85-0,"[[331, 331], [361, 361], [668, 668], [947, 947], [1434, 1434]]",[   1    2    3 ... 1678 1679 1680],"[[[ 0.03335807]
  [ 0.32959163]
  [ 0.33532941]
  ...
  [ 0.11652256]
  [ 0.32321422]
  [ 0.54743387]]

 [[ 0.32959163]
  [ 0.33532941]
  [ 0.57414291]
  ...
  [ 0.32321422]
  [ 0.54743387]
  [ 0.49278549]]

 [[ 0.33532941]
  [ 0.57414291]
  [ 0.51673755]
  ...
  [ 0.54743387]
  [ 0.49278549]
  [ 0.3074559 ]]

 ...

 [[ 0.24344974]
  [-0.080129  ]
  [-0.05624788]
  ...
  [-0.36481457]
  [-0.39311489]
  [-0.56833298]]

 [[-0.080129  ]
  [-0.05624788]
  [-0.2836879 ]
  ...
  [-0.39311489]
  [-0.56833298]
  [-0.48130191]]

 [[-0.05624788]
  [-0.2836879 ]
  [-0.33726284]
  ...
  [-0.56833298]
  [-0.48130191]
  [-0.40194569]]]","[[[ 0.288094  ]
  [ 0.41898158]
  [ 0.51211005]
  ...
  [-0.31026652]
  [-0.04936297]
  [ 0.23662607]]

 [[ 0.47280413]
  [ 0.5378709 ]
  [ 0.5405537 ]
  ...
  [-0.00400742]
  [ 0.24163646]
  [ 0.41640735]]

 [[ 0.6324926 ]
  [ 0.6191377 ]
  [ 0.5432883 ]
  ...
  [ 0.3526945 ]
  [ 0.4815681 ]
  [ 0.4730748 ]]

 ...

 [[-0.08414273]
  [-0.19467758]
  [-0.25081217]
  ...
  [ 0.01982997]
  [-0.13188642]
  [-0.3096537 ]]

 [[-0.22400077]
  [-0.29524752]
  [-0.2860869 ]
  ...
  [-0.11224621]
  [-0.26723367]
  [-0.41067293]]

 [[-0.3518723 ]
  [-0.35063758]
  [-0.24403591]
  ...
  [-0.2618021 ]
  [-0.38665268]
  [-0.4546626 ]]]","[[ 0.4811215 ]
 [ 0.479939  ]
 [ 0.35035017]
 ...
 [-0.4836168 ]
 [-0.50161725]
 [-0.42004636]]","[[ 0.15273887]
 [ 0.34756115]
 [ 0.54880506]
 ...
 [ 0.09742552]
 [-0.04688429]
 [-0.21247357]]",[1.         1.06623966 1.06623966 ... 1.29199757 1.23140812 1.12232866],1.0,1.0,1.0,,0,0,5
YAHOOA4,U_aer,A4Benchmark-TS31,0,OK,16.57929,False,61368e85-0,"[[40, 40], [198, 198], [1261, 1261], [1378, 1378]]",[   1    2    3 ... 1678 1679 1680],"[[[ 0.09557785]
  [ 0.30330707]
  [ 0.46852444]
  ...
  [ 0.11892415]
  [ 0.27867904]
  [ 0.35354119]]

 [[ 0.30330707]
  [ 0.46852444]
  [ 0.55908658]
  ...
  [ 0.27867904]
  [ 0.35354119]
  [ 0.34162822]]

 [[ 0.46852444]
  [ 0.55908658]
  [ 0.55747377]
  ...
  [ 0.35354119]
  [ 0.34162822]
  [ 0.24303712]]

 ...

 [[-0.0986019 ]
  [-0.11465131]
  [-0.12887385]
  ...
  [-0.08994417]
  [-0.10306777]
  [-0.11083362]]

 [[-0.11465131]
  [-0.12887385]
  [-0.13698585]
  ...
  [-0.10306777]
  [-0.11083362]
  [-0.11033622]]

 [[-0.12887385]
  [-0.13698585]
  [-0.137964  ]
  ...
  [-0.11083362]
  [-0.11033622]
  [-0.10084571]]]","[[[ 0.20943488]
  [ 0.27205712]
  [ 0.30735925]
  ...
  [ 0.25320303]
  [ 0.29895556]
  [ 0.3317185 ]]

 [[ 0.38364464]
  [ 0.43195054]
  [ 0.445914  ]
  ...
  [ 0.2673932 ]
  [ 0.3029512 ]
  [ 0.31542778]]

 [[ 0.50577986]
  [ 0.5384467 ]
  [ 0.5360001 ]
  ...
  [ 0.2289151 ]
  [ 0.25042558]
  [ 0.2440097 ]]

 ...

 [[-0.1128702 ]
  [-0.11142069]
  [-0.10089974]
  ...
  [-0.09132969]
  [-0.09865145]
  [-0.10027014]]

 [[-0.12581706]
  [-0.12269501]
  [-0.10967682]
  ...
  [-0.09221408]
  [-0.09959599]
  [-0.10055884]]

 [[-0.13622358]
  [-0.13096276]
  [-0.11571263]
  ...
  [-0.0877611 ]
  [-0.09406938]
  [-0.09362429]]]","[[ 0.33475062]
 [ 0.28406882]
 [ 0.18851301]
 ...
 [-0.08687116]
 [-0.08504074]
 [-0.07625638]]","[[ 0.11284728]
 [ 0.2851453 ]
 [ 0.4184424 ]
 ...
 [-0.09380425]
 [-0.10649868]
 [-0.11836229]]",[1.         1.01191508 1.01191508 ... 1.12486643 1.1285441  1.12290056],0.0,0.0,0.0,,1,4,0
